================================================================================
LESSONS LISTING - GROUPED BY GRADE AND SUBJECT
================================================================================

### Common Core (10 subjects):
--------------------------------------------------------------------------------

## Arabic Language & Literature (32 lessons):

# Lessons:
ID     | Title                                              | Cycle      | Tracks
--------------------------------------------------------------------------------
3678   | 10الطباق والمقابلة                                 | 1st        | [All tracks]
3679   | 10شعر التفعيلة (شعر المدينة)                       | 1st        | [All tracks]
3680   | 11الكتابة العروضية                                 | 1st        | [All tracks]
3681   | 11شعر التفعيلة (شعر الاغتراب)                      | 1st        | [All tracks]
3682   | 12الزحافات والعلل                                  | 1st        | [All tracks]
3683   | 12شعر التفعيلة (شعر النضال والمقاومة)              | 1st        | [All tracks]
3684   | 13بحر الطويل                                       | 1st        | [All tracks]
3685   | 14بحر البسيط                                       | 1st        | [All tracks]
3686   | 1الحكي (النص السردي)                               | 1st        | [All tracks]
3687   | 1الحي اللاتيني (سهيل إدريس)                        | 1st        | [All tracks]
3688   | 1بلاغة الإقناع                                     | 1st        | [All tracks]
3689   | 1بلاغة الإمتاع                                     | 1st        | [All tracks]
3690   | 1مهارة إنتاج نص حكائي                              | 1st        | [All tracks]
3691   | 2الحكي (النص الوصفي)                               | 1st        | [All tracks]
3692   | 2الخبر والإنشاء                                    | 1st        | [All tracks]
3693   | 2مهارة إنتاج نص حجاجي                              | 1st        | [All tracks]
3694   | 3الحكي (النص الحواري)                              | 1st        | [All tracks]
3695   | 3الخبر – أغراضه وخروجه عن مقتضى الظاهر             | 1st        | [All tracks]
3696   | 3مهارة تحويل نص شعري                               | 1st        | [All tracks]
3697   | 4التشبيه – أركانه وأقسامه                          | 1st        | [All tracks]
3698   | 4الحجاج (النص الإخباري)                            | 1st        | [All tracks]
3699   | 4مهارة توسيع مقطع شعري                             | 1st        | [All tracks]
3700   | 5الحجاج (النص التفسيري)                            | 1st        | [All tracks]
3701   | 5الحقيقة والمجاز                                   | 1st        | [All tracks]
3702   | 6الإستعارة – تعريفها وأركانها                      | 1st        | [All tracks]
3703   | 6الحجاج (النص الإقناعي)                            | 1st        | [All tracks]
3704   | 7الجناس                                            | 1st        | [All tracks]
3705   | 7الشعر العمودي (شعر المدح)                         | 1st        | [All tracks]
3706   | 8السجع                                             | 1st        | [All tracks]
3707   | 8الشعر العمودي (شعر الوصف)                         | 1st        | [All tracks]
3708   | 9الاقتباس                                          | 1st        | [All tracks]
3709   | 9الشعر العمودي ( شعر الغزل)                        | 1st        | [All tracks]


## French Language & Literature (3 lessons):

# Lessons:
ID     | Title                                              | Cycle      | Tracks
--------------------------------------------------------------------------------
3710   | La nouvelle fantastique                            | 1st        | [All tracks]
3711   | La nouvelle réaliste                               | 1st        | [All tracks]
3712   | Le théâtre                                         | 1st        | [All tracks]


## History & Geography (38 lessons):

# Lessons:
ID     | Title                                              | Cycle      | Tracks
--------------------------------------------------------------------------------
3512   | 10الحياة الفكرية والفنية في العالم الإسلامي        | 1st        | [All tracks]
3513   | 10المنظومة البيئية (مفهومها، أسس توازنها والتعريف  | 1st        | [All tracks]
3514   | 11عصر الأنوار الفكر الأنجليزي والفكر الفرنسي       | 1st        | [All tracks]
3515   | 11ملف حول كارثة طبيعية (الزلازل في المغرب)         | 1st        | [All tracks]
3516   | 12الثورات الإجتماعية والسياسية الثورة الفرنسية     | 1st        | [All tracks]
3517   | 12ملف حول كارثة بيئية (الاحتباس الحراري)           | 1st        | [All tracks]
3518   | 13الإجراءات والتدابير التشريعية والتقنية           | 1st        | [All tracks]
3519   | 13انطلاقة الثورة الصناعية التطور التقني والإنعكاسا | 1st        | [All tracks]
3520   | 14الأوضاع العامة في العالم الإسلامي خلال القرنين 1 | 1st        | [All tracks]
3521   | 14الإجراءات والتدابير التربوية                     | 1st        | [All tracks]
3522   | 15الإجراءات والتدابير على مستوى تنظيم المجال       | 1st        | [All tracks]
3523   | 15تصاعد الضغوط الأوربية على العالم الإسلامي        | 1st        | [All tracks]
3524   | 16بداية محاولات الإصلاح وحدودها                    | 1st        | [All tracks]
3525   | 16دور الجمعيات والمنظمات غير الحكومية في حماية الب | 1st        | [All tracks]
3526   | 17الثورات الإجتماعية والسياسية الثورة الإنجليزية   | 1st        | [All tracks]
3527   | 17المنظومة البيئية الحارة                          | 1st        | [All tracks]
3528   | 18المنظومة البيئية المعتدلة                        | 1st        | [All tracks]
3529   | 19المنظومة البيئية الباردة                         | 1st        | [All tracks]
3530   | 1العالم المتوسطي في القرنين 15م و18م               | 1st        | [All tracks]
3531   | 1المجموعات البنيوية الكبرى وأشكال التظاريس         | 1st        | [All tracks]
3532   | 20الكوارث البيئية (تعريفها وأنواعها)               | 1st        | [All tracks]
3533   | 21ملف حول دور الجمعيات والمنظمات غير الحكومية      | 1st        | [All tracks]
3534   | 2التحولات الفكرية والعلمية والفنية الحركة الإنسية  | 1st        | [All tracks]
3535   | 2النطاقات المناخية والغطاء النباتي في العالم (مقاب | 1st        | [All tracks]
3536   | 3التحولات السياسية والاجتماعية في أوربا خلال القرن | 1st        | [All tracks]
3537   | 3السكان التوزيع                                    | 1st        | [All tracks]
3538   | 4أشكال استغلال الإنسان للمجال في الأرياف           | 1st        | [All tracks]
3539   | 4الاكتشافات الجغرافية وظاهرة الميركنتيلية          | 1st        | [All tracks]
3540   | 5أشكال استغلال الإنسان للمجال في المدن             | 1st        | [All tracks]
3541   | 5المد الإسلامي (امتداد النفوذ العثماني وبداية التد | 1st        | [All tracks]
3542   | 6التطورات السياسية والإجتماعية في العالم الإسلامي  | 1st        | [All tracks]
3543   | 6تقنيات رسم خرائط المجال الريفي – الحضري (تمثيل ال | 1st        | [All tracks]
3544   | 7التطورات الإقتصادية في العالم الإسلامي            | 1st        | [All tracks]
3545   | 7قراءة خريطة طبوغرافية (إنجاز مقطع طبوغرافي)       | 1st        | [All tracks]
3546   | 8الإصلاح الديني                                    | 1st        | [All tracks]
3547   | 8التربة                                            | 1st        | [All tracks]
3548   | 9السكان والدينامية (التدرب على رسم المبيانات)      | 1st        | [All tracks]
3549   | 9المد الإسلامي وبداية التدخل الأوروبي              | 1st        | [All tracks]


## Information Technology/Computer Science (1 lesson):

# Lessons:
ID     | Title                                              | Cycle      | Tracks
--------------------------------------------------------------------------------
3713   | General                                            | 1st        | [All tracks]


## Islamic Education (20 lessons):

# Lessons:
ID     | Title                                              | Cycle      | Tracks
--------------------------------------------------------------------------------
3550   | 10فقه العبادات الصلاة – الزكاة – الصيام            | 1st        | [All tracks]
3551   | 11الحج أركانه ومقاصده                              | 1st        | [All tracks]
3552   | 12فقه المعاملات المالية مبادئ استثمار الأموال في ا | 1st        | [All tracks]
3553   | 13حق الله  شكر الله                                | 1st        | [All tracks]
3554   | 14حق النفس الاستقامة                               | 1st        | [All tracks]
3555   | 15حق الغير العمل الصالح                            | 1st        | [All tracks]
3556   | 16حق البيئة الإصلاح وعدم الإفساد                   | 1st        | [All tracks]
3557   | 17القناعة والرضا                                   | 1st        | [All tracks]
3558   | 18الدين النصيحة                                    | 1st        | [All tracks]
3559   | 19الرفقة الصالحة                                   | 1st        | [All tracks]
3560   | 1سورة الكهف                                        | 1st        | [All tracks]
3561   | 20الوصايا التسع ( قل تعالوا اتل ما حرم ربكم عليكم) | 1st        | [All tracks]
3562   | 2التوحيد وأدلته                                    | 1st        | [All tracks]
3563   | 3البعث والحساب                                     | 1st        | [All tracks]
3564   | 4الجزاء الجنة والنار                               | 1st        | [All tracks]
3565   | 5علم الله المطلق                                   | 1st        | [All tracks]
3566   | 6فقه السيرة الغايات والمقاصد                       | 1st        | [All tracks]
3567   | 7محمد صلى الله عليه وسلم الرسول القائد             | 1st        | [All tracks]
3568   | 8غزوتا بدر وأحد دروس وعبر                          | 1st        | [All tracks]
3569   | 9نماذج للتأسي عمر بن الخطاب رضي الله عنه وعزة الإس | 1st        | [All tracks]


## Life & Earth Sciences (40 lessons):

# Lessons:
ID     | Title                                              | Cycle      | Tracks
--------------------------------------------------------------------------------
3714   | 10دورات النمو عند النباتات                         | 1st        | [All tracks]
3715   | 11التوالد اللاجنسي عند النباتات                    | 1st        | [All tracks]
3716   | 12التعديل الوراثي عند النباتات                     | 1st        | [All tracks]
3717   | 13تصنيف النباتات                                   | 1st        | [All tracks]
3718   | 1بعض التوجيهات العامة حول دراسة علم البيئة         | 1st        | [All tracks]
3719   | 2تقنيات الدراسة الميدانية المستعملة في علم البيئة  | 1st        | [All tracks]
3720   | 3عوامل التربة وعلاقتها بتوزيع الكائنات الحية       | 1st        | [All tracks]
3721   | 4العوامل المناخية وعلاقتها بالكائنات الحية         | 1st        | [All tracks]
3722   | 5تدفق المادة والطاقة داخل الحميلة البيئية          | 1st        | [All tracks]
3723   | 6التوازنات الطبيعية                                | 1st        | [All tracks]
3724   | 7التوالد الجنسي عند النباتات الزهرية               | 1st        | [All tracks]
3725   | 8التوالد الجنسي عند عاريات البذور                  | 1st        | [All tracks]
3726   | 9التوالد الجنسي عند النباتات اللازهرية             | 1st        | [All tracks]
3727   | 11التقنیات الحدیثة لمعالجة المیاه                  | 1st        | [All tracks]
3728   | 12دورة الماء                                       | 1st        | [All tracks]
3729   | 13بعض مظاهر اختلال التوازنات الطبيعية              | 1st        | [All tracks]
3730   | 14تلوث الهواء واتلاف طبقة الأوزون والانحباس الحرار | 1st        | [All tracks]
3731   | 15عواقب استعمال المواد الكيميائية المفرط واتلاف ال | 1st        | [All tracks]
3732   | 16انقراض الحيوانات أسبابه وعواقبه                  | 1st        | [All tracks]
3733   | 17المحافظة على التوازنات الطبيعية                  | 1st        | [All tracks]
3734   | 1استغلال المياه وتلويثها                           | 1st        | [All tracks]
3735   | 2الإسراف في استغلال المياه                         | 1st        | [All tracks]
3736   | 3تلوث المياه                                       | 1st        | [All tracks]
3737   | 4تكوين المذخرات المائية                            | 1st        | [All tracks]
3738   | 5تكوين المدخرات المائية السطحية                    | 1st        | [All tracks]
3739   | 6تكوين المدخرات المائية الجوفية                    | 1st        | [All tracks]
3740   | 7التنقيب عن المياه الجوفية                         | 1st        | [All tracks]
3741   | 8الماء الشروب                                      | 1st        | [All tracks]
3742   | 9تزويد المجمعات السكنية بالماء الشروب              | 1st        | [All tracks]
